融资轮次,时间,金额（美元）,投后估值,领投方,参投方（主要）,华人网络线索（机构层面）,华人相关人物,华人背景说明,数据来源
天使轮 / 种子轮,2021年初（成立前后）,未披露,—,创始团队自筹,—,—,—,Anthropic由前OpenAI团队创立，华裔早期员工包括Yuntao Bai（2021.07）和Da Yan（2022.07），属于公司内部网络,Crunchbase / Tracxn
Series A,2021年5月,1.24亿,—,Spark Capital,Google; Salesforce Ventures; Sound Ventures; Zoom Ventures; 其他天使,Spark Capital（早期AI领域华人网络有限，非华人主导机构）; Google有大量华人工程师和决策者,Spark Capital普通合伙人Yasmin Razavi主导Anthropic投资并担任董事;Google亚太/AI负责人中有华裔高管,Spark Capital为主要早期机构投资人；Google在AI领域深度布局Anthropic,腾讯新闻 / tracxn.com / 36kr
Series B,2022年4月,5.8亿,—,（未明确披露，Google为主要参与方）,Google; Spark Capital; Sound Ventures; 其他,Google持续参与; 整体轮次华人机构介入有限,—（同A轮Google渠道）,早期融资主要依赖科技公司和美国本土VC，华人机构/资本网络介入较少,Tracxn / Crunchbase
Series C（一）,2023年5月,4.5亿,41亿,Spark Capital,Google; Salesforce Ventures; Sound Ventures; Zoom Ventures,Zoom：Zoom CEO袁征（Eric Yuan）为华裔创始人，Zoom Ventures多次参与Anthropic融资，是Anthropic在华人科技创始人圈的重要联结点,袁征（Eric Yuan）Zoom CEO,Zoom CEO袁征是中国浙江人，1997年赴美，Cisco WebEx核心工程师，2011年创立Zoom；Zoom Ventures多次参与Anthropic融资,foresightnews.pro / tracxn.com
Series C（二）,2023年6月,未披露,—,Buckhill Capital,Sapphire Ventures,Sapphire Ventures：由SAP创立，管理团队中有亚裔合伙人,—,Sapphire Ventures是SAP旗下VC，在企业软件/AI领域活跃，非典型华人机构,tracxn.com
Series C（三）,2023年8月,1亿,—,SK Telecom Americas,—,SK电信美洲：韩国财团，亚裔关联但非华人主导,—,SK Telecom Americas为韩国SK集团旗下，在AI领域跨太平洋布局的代表,tracxn.com
Series D（可转债）,2023年10月,5亿,—,Google（可转债形式）,—,Google持续加码；Google公司高层华人众多（Diane Greene前任、各产品负责人等），但投资决策为公司行为,—,Google可转债投资意在确保战略合作关系，不代表特定华人网络,tracxn.com / CNBC
Series D,2023年9月,12.5亿,—,Amazon,—,Amazon AWS大量华人工程师；Amazon负责AI投资的高层有亚裔背景;本轮Amazon为战略投资，非专门华人VC网络,—,Amazon战略投资，与Anthropic建立AWS基础设施合作；Amazon在华人工程师密度极高，但投资决策非华人主导,tracxn.com
Series D（补充）,2024年1月,500万,150亿,MIS,Qualcomm; Intuit,Qualcomm：半导体公司，亚裔工程师密集；Intuit：金融软件，管理层有亚裔,—,小型补充轮次；MIS等机构华人网络有限,tracxn.com
Series E（Amazon加码）,2024年3月,27.5亿,184亿,Amazon,—,Amazon持续加码；持有Anthropic约27%股份（战略合作＋投资），是Anthropic最大外部投资方,—,Amazon War Chest投资；Andy Jassy领导下的Amazon积极布局AI；AWS与Anthropic深度绑定,tracxn.com / Bloomberg
Series E（DAMAC）,2024年7月,5000万,—,DAMAC Group,—,DAMAC Group：阿联酋地产/科技集团，中东资本，非华人网络,—,DAMAC为中东科技资本布局AI的代表案例,tracxn.com
Series E（Amazon再加码）,2024年11月,40亿,—,Amazon,—,Amazon第三次大额投资；Amazon与Anthropic战略同盟进一步深化,—,Amazon累计承诺投资额达80亿美元,tracxn.com / CNBC
Series E（Google加码）,2025年1月,10亿,600亿,Google,—,Google持续投资 / Google Cloud为Anthropic提供算力支持；Google DeepMind与Anthropic在人才层面有频繁流动（如姚顺宇离职后加入DeepMind）,—,Google战略投资延续；估值600亿美元,tracxn.com
Series E（Lightspeed领投）,2025年3月,35亿,615亿,Lightspeed Venture Partners,Bessemer Venture Partners; Cisco Investments; D1 Capital Partners; General Catalyst; Salesforce Ventures; Menlo Ventures; Fidelity Investments; Jane Street,Lightspeed：Lightspeed中国基金（光速中国）由合伙人曾振宇等华人主导；Lightspeed美国本部有华裔合伙人；D1 Capital、General Catalyst中有亚裔合伙人,曾振宇（Sheng Fu/Amy Wu 光速中国合伙人）; Lightspeed美国华裔合伙人（待确认）,Lightspeed Venture Partners在中国/亚洲有独立基金（光速中国），但美国主体与中国基金已部分独立运营；Lightspeed美国本部Partner Amy Wu为华裔,tracxn.com / taptwicedigital.com
债务融资（银行贷款）,2025年5月,25亿（债务）,—,—（银行团）,JPMorgan Chase; Citi Ventures; Goldman Sachs; Barclays; RBC; MUFG; Morgan Stanley,Goldman Sachs：内部有大量华裔银行家；MUFG：三菱日联（日本资本，亚洲属性）；Citi：花旗亚洲华人网络强,MUFG等亚洲金融机构参与表明Anthropic融资已吸引亚洲银行资本,银行债务融资轮次，非股权投资；标志Anthropic资本结构成熟化,tracxn.com
