arxiv_id,slug,title,chinese_candidates,result,note,scan_date
1312.6199,constitutional-classifiers,(2013年论文),,excluded,2013年论文，早于Anthropic成立,2026-04-03
1610.01644,probes-catch-sleeper-agents,(2016年论文),,excluded,2016年论文，早于Anthropic成立,2026-04-03
1612.01551,vibe-physics,(2016年论文),,excluded,2016年论文，早于Anthropic成立,2026-04-03
1703.04730,influence-functions,Understanding Black-box Predictions via Influence Functions,Pang Wei Koh,excluded,2017年论文；Pang Wei Koh=Stanford→Google Research，非Anthropic,2026-04-03
1806.03822,statistical-approach-to-model-evals,(2018年论文),,excluded,2018年论文，早于Anthropic成立,2026-04-03
1808.07036,statistical-approach-to-model-evals,(2018年论文),,excluded,2018年论文，早于Anthropic成立,2026-04-03
1906.01820,probes-catch-sleeper-agents,(2019年论文),,excluded,2019年论文，早于Anthropic成立,2026-04-03
1909.06146,evaluating-feature-steering,(2019年论文),,excluded,2019年论文，早于Anthropic成立,2026-04-03
2001.08361,mapping-mind-language-model,(2020年论文),,excluded,2020年论文，早于Anthropic成立,2026-04-03
2009.03300,statistical-approach-to-model-evals,(2020年论文，待补充),,excluded,2020年论文，Anthropic 2021年才成立，肯定非Anthropic自有,2026-04-03
2102.12452,probes-catch-sleeper-agents,"Probing Classifiers: Promises, Shortcomings, and Advances",,excluded,非Anthropic自有（MIT/学术），NLP解释性论文,2026-04-03
2108.12427,evaluating-ai-systems,(待确认),,pending,未成功fetch，需手动核查,2026-04-03
2110.08193,evaluating-feature-steering,BBQ: A Hand-Built Bias Benchmark for QA,,excluded,非Anthropic自有（NYU/Princeton学术）,2026-04-03
2110.14168,collective-constitutional-ai-aligning-a-language-model-with-public-input,Training Verifiers to Solve Math Word Problems (GSM8K),Mark Chen,excluded,非 Anthropic 自有（OpenAI 论文）；Mark Chen=OpenAI 研究员,2026-04-03
2112.00861,general-language-assistant,A General Language Assistant as a Laboratory for Alignment,Yuntao Bai；Anna Chen,known,Yuntao Bai已在离职表；Anna Chen已在离职表,2026-04-02
2202.03286,forecasting-rare-behaviors,Red Teaming Language Models with Language Models,Saffron Huang；Yuntao Bai；Anna Chen,known,Anthropic自有论文；Saffron Huang=非华裔已排除；Yuntao Bai/Anna Chen已在离职表,2026-04-03
2202.07785,predictability-and-surprise,Predictability and Surprise in Large Generative Models,Yuntao Bai；Anna Chen,known,Anthropic自有论文；Yuntao Bai和Anna Chen已离职,2026-04-02
2203.15556,small-samples-poison,Training Compute-Optimal Large Language Models (Chinchilla),,excluded,非 Anthropic 自有（DeepMind Chinchilla 论文）,2026-04-03
2204.05862,rlhf-assistant,Training a Helpful and Harmless Assistant with Reinforcement Learning from Human Feedback,Yuntao Bai,known,Yuntao Bai 已在离职表,2026-04-02
2205.01069,deep-learning-python-book,From Basics to Building Deep Neural Networks with Python (波斯语书籍),,excluded,波斯语教学书籍，误纳入sitemap,2026-04-02
2205.10487,scaling-laws-and-interpretability-of-learning-from-repeated-data,Scaling Laws and Interpretability of Learning from Repeated Data,,no_chinese,Anthropic自有早期论文，无华人作者,2026-04-03
2206.07682,building-ai-cyber-defenders,Emergent Abilities of Large Language Models,Jason Wei；Yi Tay；Denny Zhou,excluded,非Anthropic自有（Google Brain论文）；Jason Wei/Denny Zhou=Google，非Anthropic,2026-04-03
2206.14858,visible-extended-thinking,Solving Quantitative Reasoning Problems with LLMs (Minerva),Yuhuai Wu,excluded,非 Anthropic 自有（Google Research）；Yuhuai Wu=Google研究员,2026-04-03
2207.05221,language-models-mostly-know-what-they-know,Language Models (Mostly) Know What They Know,Anna Chen；Yuntao Bai,known,Anthropic 自有论文；Anna Chen/Yuntao Bai 已在离职表,2026-04-03
2209.07858,red-teaming,Red Teaming Language Models to Reduce Harms,Anna Chen,known,Anna Chen 已在表中（离职）,2026-04-02
2210.11610,self-improvement,Large Language Models Can Self-Improve,Jiaxin Huang；Shixiang Shane Gu；Yuexin Wu；Xuezhi Wang；Hongkun Yu；Jiawei Han,excluded,Google论文，非Anthropic自有,2026-04-02
2211.03540,scalable-oversight,Measuring Progress on Scalable Oversight for LLMs,Edwin Chen；Anna Chen,known,Anthropic自有论文；Edwin Chen和Anna Chen已在离职表,2026-04-02
2212.08073,constitutional-ai,Constitutional AI: Harmlessness from AI Feedback,Yuntao Bai,known,Yuntao Bai 已在离职表,2026-04-02
2212.09251,model-written-evaluations,Discovering Language Model Behaviors with Model-Written Evaluations,Edwin Chen；Anna Chen；Da Yan；Dustin Li,known,Edwin Chen=已离职排除；Anna Chen/Da Yan/Dustin Li 已在表中,2026-04-02
2302.06590,estimating-productivity-gains,The Impact of AI on Developer Productivity: Evidence from GitHub Copilot,,excluded,非 Anthropic 自有（GitHub Copilot 经济学研究）,2026-04-03
2302.07459,moral-self-correction,The Capacity for Moral Self-Correction in Large Language Models,Anna Chen；Dustin Li,known,Anna Chen/Dustin Li 已在表中,2026-04-02
2302.10329,measuring-agent-autonomy,Harms from Increasingly Agentic Algorithmic Systems,Alan Chan；Zhonghao He；Yawen Duan；Michelle Lin；Wanru Zhao,excluded,非 Anthropic 自有（Mila/学术多机构）；Alan Chan=Mila PhD→GovAI，已确认排除；其余均为学术界,2026-04-03
2303.17548,collective-constitutional-ai-aligning-a-language-model-with-public-input,Whose Opinions Do Language Models Reflect? (OpinionsQA),,excluded,非 Anthropic 自有（Stanford 学术）,2026-04-03
2304.05332,evaluating-ai-systems,Emergent autonomous scientific research capabilities of LLMs,,excluded,化学论文，非Anthropic自有,2026-04-03
2305.04388,reasoning-models,Language Models Don't Always Say What They Think: Unfaithful CoT,,no_chinese,Miles Turpin等，无华人作者,2026-04-02
2305.14965,many-shot-jailbreaking,"Tricking LLMs into Disobedience: Formalizing, Analyzing, and Detecting Jailbreaks",,excluded,非Anthropic自有（学术多机构）,2026-04-03
2305.15324,evaluating-ai-systems,Model evaluation for extreme risks,,excluded,非 Anthropic 自有（DeepMind 主导）,2026-04-03
2305.16367,role-play-llms,Role-Play with Large Language Models,,no_chinese,非Anthropic自有，Murray Shanahan单作者,2026-04-02
2305.17333,model-card-claude,Model Card and Evaluations for Claude Models,Tianyu Gao；Danqi Chen,excluded,Tianyu Gao=Princeton学术合作者；Danqi Chen=Princeton教授/ThinkingMachines排除,2026-04-02
2306.03809,evaluating-ai-systems,Can LLMs democratize access to dual-use biotechnology?,,excluded,非 Anthropic 自有（MIT 课程论文）,2026-04-03
2306.11932,polis-deliberation,Opportunities and Risks of LLMs for Scalable Deliberation with Polis,,no_chinese,无华人作者,2026-04-02
2306.16388,towards-measuring-the-representation-of-subjective-global-opinions-in-language-models,Towards Measuring the Representation of Subjective Global Opinions in LLMs,Carol Chen,known,Anthropic 自有论文；Carol Chen 已在在职表row30,2026-04-03
2307.13702,tracing-thoughts-language-model,Measuring Faithfulness in Chain-of-Thought Reasoning,Anna Chen；Dustin Li；Newton Cheng；Shannon Yang,known,Anthropic 自有论文；Anna Chen/Dustin Li 已在离职表；Newton Cheng/Shannon Yang 已在在职表（Shannon Yang 待核实状态）,2026-04-03
2308.03296,studying-large-language-model-generalization-with-influence-functions,Studying Large Language Model Generalization with Influence Functions,Dustin Li,known,Anthropic 自有论文；Dustin Li 已在离职表,2026-04-03
2308.10248,persona-vectors,Steering Language Models With Activation Engineering (ActAdd),,excluded,非 Anthropic 自有（学术研究/SERI MATS）,2026-04-03
2308.15605,probes-catch-sleeper-agents,Benchmarks for Detecting Measurement Tampering,,no_chinese,Anthropic 自有论文，无华人作者,2026-04-03
2309.11998,clio,LMSYS-Chat-1M: A Large-Scale Real-World LLM Conversation Dataset,Lianmin Zheng；Wei-Lin Chiang；Ying Sheng；Tianle Li；Siyuan Zhuang；Zhanghao Wu,excluded,非 Anthropic 自有（UC Berkeley/LMSYS）；全部为 Berkeley 学术成员,2026-04-03
2309.15840,probes-catch-sleeper-agents,How to Catch an AI Liar: Lie Detection in Black-Box LLMs,,excluded,非 Anthropic 自有（Oxford 等学术机构）,2026-04-03
2310.01405,probes-catch-sleeper-agents,Representation Engineering: A Top-Down Approach to AI Transparency,Andy Zou；Zifan Wang,excluded,非 Anthropic 自有（CMU/UC Berkeley 学术）；Andy Zou/Zifan Wang 均为学术界,2026-04-03
2310.02207,introspection,Language Models Represent Space and Time,,excluded,非 Anthropic 自有（MIT）,2026-04-03
2310.03693,mapping-mind-language-model,Fine-tuning Aligned LLMs Compromises Safety,,excluded,非 Anthropic 自有（Princeton/Stanford）,2026-04-03
2310.06387,many-shot-jailbreaking,Jailbreak and Guard Aligned LLMs with In-Context Demonstrations (ICA/ICD),Zeming Wei,excluded,非 Anthropic 自有（清华/学术）；Zeming Wei 提交但非 Anthropic 成员,2026-04-03
2310.06824,introspection,Emergent Linear Structure in LLM Representations of True/False Datasets,,no_chinese,Samuel Marks提交，无华人作者,2026-04-02
2310.13548,sycophancy-llms,Towards Understanding Sycophancy in Language Models,Meg Tong；Newton Cheng；Da Yan；Miranda Zhang,known,Meg Tong=非华人排除；Newton Cheng/Da Yan/Miranda Zhang 已在表中（在职）,2026-04-02
2310.13798,specific-versus-general-principles-for-constitutional-ai,Specific versus General Principles for Constitutional AI,Yuntao Bai；Anna Chen,known,Anthropic自有论文；Yuntao Bai已离职，Anna Chen已离职,2026-04-02
2311.02462,measuring-agent-autonomy,Levels of AGI for Operationalizing Progress,,excluded,Google DeepMind论文，非Anthropic自有,2026-04-02
2311.03291,long-running-Claude,Einstein-Boltzmann solver for cosmology,,excluded,宇宙学物理论文，误纳入sitemap,2026-04-02
2311.12022,visible-extended-thinking,GPQA: A Graduate-Level Google-Proof Q&A Benchmark,Betty Li Hou；Richard Yuanzhe Pang,excluded,NYU论文；Richard Yuanzhe Pang=Meta FAIR（非Anthropic）；Betty Li Hou待核查,2026-04-02
2311.14455,small-samples-poison,Universal Jailbreak Backdoors from Poisoned Human Feedback,,excluded,非 Anthropic 自有（ETH Zurich/学术）,2026-04-03
